key	RU	EN	IT	ES	PO	JP	CN	DE	FR	KR	BR	PL	TW
play	ИГРАТЬ	PLAY	Gioca	Jugar	Jogar	プレイ	玩	Spielen	Jouer	플레이	Jogar	Grać	玩
finish	Игра завершена!	Game over!	Fine del Gioco!	¡Fin del Juego!	Fim do Jogo!	ゲームオーバー！	游戏結束了！	Das Spiel ist beendet!	Fin du Jeu!	게임 오버	Fim do Jogo!	Skończyć	遊戲完成了
win	Уровень пройден!	Level completed!	Livello completato	Nivel completado	Level completado	レベルコンプリートした！	級別完成！	Niveau abgeschlossen!	Ce niveau est achevé	레벨 완료	Level completado	Zwyciężyć	你贏了
lose	Уровень проигран!	Level failed!	Hai perso	Perdiste	Você perdeu	レベルフェイルした！	級別失敗！	Niveau fehlgeschlagen!	Vous n'avez pas \n achevé ce niveau	레벨 실패	Você perdeu	Stracić	你輸了
loading	Загрузка...	Loading...	Caricamento...	Cargando ...	Carregando ...	読み込んでいます...	加載中...	Verladung...	Chargement	로드	Carregando ...	Ładowanie	在加載
tutorial	tutorial_ru	tutorial_en	tutorial	tutorial	tutorial	チュートリアル	教程	Lernprogramme	Instruction	훈시	tutorial	Program uczący	教程
score	Лучший результат	High scores	Punteggi	Resultados	Pontuações	ハイスコア	高分	Das beste Ergebnis	Les meilleurs comptes	최고 점수	Pontuações	Oznaczenie	得分
shop	МАГАЗИН	SHOP	Negozio	Tienda	Loja	ショップ	鋪	Geschäft	Magasin	가게	Loja	Sklep	店
buy	КУПИТЬ	BUY	Compra	Comprar	Comprar	買う	購買	Kaufen	Acheter	사다	Comprar	Kupić	購買
setting	Настройки	Settings	Opzioni	Opciones	Opções	設定	设置	Einstellungen	Alignement	설정	Opções	Uregulowanie	環境
pause	Пауза	Pause	Pausa	Pausa	Pausa	ポーズ	暫停	Pause	Pause	중지	Pausa	Pauza	暫停
exit?	Выйти?	Are you sure you want to quit?	Uscire?	Salir?	Sair?	終了してもよろしいですか？	您確定要退出嗎？	Sind Sie sicher dass Sie beenden möchten?	Vous êtes sur que vous voulez sortit du jeu?	게임을 종료?	Sair?	Wyjść?	退出
invertAccelerometer	Инвертировать управление	Invert controls	Invertire I controlli	Invertir controles	Inverter controles	加速度計を反転する	反轉控制	Steuerung invertieren	Inversion des contrôles	제어를 반전	Inverter controles	Strata kontroli	反轉控制
tap	Жми!	Tap!	Tocca!	Pulsa!	Tap!	タップする !	点击 !	Tap!	Tape!	푸시!	Tap!	Stuknąć	龍頭
toshop	В магазин!	It’s time to go shopping!	È il momento di fare shopping!	¡Es la hora de ir de compras!	É hora de fazer compras!	これは、買い物に行く時間だ！	这是去逛街的时间！	Es ist Zeit	Shoppen zu gehen! Il est temps d'aller faire du shopping!	쇼핑 하십시오!	É hora de fazer compras!	Idź do sklepu!	到店
saved	Сохранено	Saved	Savato	Guardado	Guardado	保存した	保存了	Gespeichert	Enregistré	저장된	Guardado	Zachowane	保存
easy	лёгкий	easy	facile	fácil	łatwy	初級	简单	leicht	facile	초급	łatwy	Łatwy	簡單
normal	средний	normal	medio	medio	średni	中級	正常	mittel	moyen	중급	średni	Średni	正常
hard	тяжёлый	hard	difficile	difícil	ciężki	上級	困难	schwer	difficile	고급	ciężki	Ciężki	困難
